experiment	prompt	model	n	accuracy	precision	recall	f1	valid_count	invalid_count	invalid_rate
DE_0shot	P1	Gemma-3-1B	365	0.4958904109589041	0.49725274725274726	0.9945054945054945	0.663003663003663	365	0	0.0
DE_0shot	P1	Llama-3.2-1B	365	0.5095890410958904	0.5384615384615384	0.11538461538461539	0.19004524886877827	365	0	0.0
DE_0shot	P1	Phi-3.5-mini	365	0.6438356164383562	0.6688311688311688	0.5659340659340659	0.6130952380952381	365	0	0.0
DE_0shot	P1	Qwen2.5-1.5B	365	0.4986301369863014	0.4986301369863014	1.0	0.6654478976234004	365	0	0.0
DE_0shot	P2	Gemma-3-1B	365	0.4986301369863014	0.4986301369863014	1.0	0.6654478976234004	365	0	0.0
DE_0shot	P2	Llama-3.2-1B	365	0.4986149584487535	0.0	0.0	0.0	361	4	0.010958904109589041
DE_0shot	P2	Phi-3.5-mini	365	0.6821917808219178	0.75	0.5439560439560439	0.6305732484076433	365	0	0.0
DE_0shot	P2	Qwen2.5-1.5B	365	0.4958904109589041	0.49725274725274726	0.9945054945054945	0.663003663003663	365	0	0.0
DE_0shot	P3	Gemma-3-1B	365	0.4986301369863014	0.4986301369863014	1.0	0.6654478976234004	365	0	0.0
DE_0shot	P3	Llama-3.2-1B	365					0	365	1.0
DE_0shot	P3	Phi-3.5-mini	365	0.5972602739726027	0.6011560693641619	0.5714285714285714	0.5859154929577465	365	0	0.0
DE_0shot	P3	Qwen2.5-1.5B	365	0.5027932960893855	0.5027932960893855	1.0	0.6691449814126395	358	7	0.019178082191780823
DE_2shot_DE_ES	P1	Gemma-3-1B	365	0.5863013698630137	0.6013071895424836	0.5054945054945055	0.5492537313432836	365	0	0.0
DE_2shot_DE_ES	P1	Llama-3.2-1B	365	0.4913294797687861	0.4913294797687861	1.0	0.6589147286821705	346	19	0.052054794520547946
DE_2shot_DE_ES	P1	Phi-3.5-mini	365	0.6301369863013698	0.6358381502890174	0.6043956043956044	0.6197183098591549	365	0	0.0
DE_2shot_DE_ES	P1	Qwen2.5-1.5B	365	0.5232876712328767	0.5118343195266272	0.9505494505494505	0.6653846153846154	365	0	0.0
DE_2shot_DE_ES	P2	Gemma-3-1B	365	0.5178082191780822	0.5142857142857142	0.5934065934065934	0.5510204081632653	365	0	0.0
DE_2shot_DE_ES	P2	Llama-3.2-1B	365	0.49584487534626037	0.49584487534626037	1.0	0.662962962962963	361	4	0.010958904109589041
DE_2shot_DE_ES	P2	Phi-3.5-mini	365	0.6657534246575343	0.7380952380952381	0.510989010989011	0.6038961038961039	365	0	0.0
DE_2shot_DE_ES	P2	Qwen2.5-1.5B	365	0.4986301369863014	0.4986301369863014	1.0	0.6654478976234004	365	0	0.0
DE_2shot_DE_ES	P3	Gemma-3-1B	365	0.5287671232876713	0.526595744680851	0.5439560439560439	0.5351351351351351	365	0	0.0
DE_2shot_DE_ES	P3	Llama-3.2-1B	365					0	365	1.0
DE_2shot_DE_ES	P3	Phi-3.5-mini	365	0.5561643835616439	0.5352112676056338	0.8351648351648352	0.6523605150214592	365	0	0.0
DE_2shot_DE_ES	P3	Qwen2.5-1.5B	365	0.6578947368421053	0.5	0.46153846153846156	0.48	76	289	0.7917808219178082
DE_2shot_ES_DE	P1	Gemma-3-1B	365	0.5452054794520548	0.5869565217391305	0.2967032967032967	0.39416058394160586	365	0	0.0
DE_2shot_ES_DE	P1	Llama-3.2-1B	365	0.4986301369863014	0.4986301369863014	1.0	0.6654478976234004	365	0	0.0
DE_2shot_ES_DE	P1	Phi-3.5-mini	365	0.6273972602739726	0.8026315789473685	0.33516483516483514	0.4728682170542636	365	0	0.0
DE_2shot_ES_DE	P1	Qwen2.5-1.5B	365	0.5013698630136987	0.5	0.9945054945054945	0.6654411764705882	365	0	0.0
DE_2shot_ES_DE	P2	Gemma-3-1B	365	0.5589041095890411	0.5686274509803921	0.47802197802197804	0.5194029850746269	365	0	0.0
DE_2shot_ES_DE	P2	Llama-3.2-1B	365	0.4868035190615836	0.4868035190615836	1.0	0.6548323471400395	341	24	0.06575342465753424
DE_2shot_ES_DE	P2	Phi-3.5-mini	365	0.5917808219178082	0.8235294117647058	0.23076923076923078	0.3605150214592275	365	0	0.0
DE_2shot_ES_DE	P2	Qwen2.5-1.5B	365	0.4958904109589041	0.49714285714285716	0.9560439560439561	0.6541353383458647	365	0	0.0
DE_2shot_ES_DE	P3	Gemma-3-1B	365	0.4849315068493151	0.48828125	0.6868131868131868	0.5707762557077626	365	0	0.0
DE_2shot_ES_DE	P3	Llama-3.2-1B	365					0	365	1.0
DE_2shot_ES_DE	P3	Phi-3.5-mini	365	0.6054794520547945	0.5887850467289719	0.6923076923076923	0.6363636363636364	365	0	0.0
DE_2shot_ES_DE	P3	Qwen2.5-1.5B	365	0.5616438356164384	0.5774647887323944	0.45054945054945056	0.5061728395061729	365	0	0.0
DE_4shot	P1	Gemma-3-1B	365	0.6027397260273972	0.5852534562211982	0.6978021978021978	0.6365914786967418	365	0	0.0
DE_4shot	P1	Llama-3.2-1B	365	0.49698795180722893	0.49698795180722893	1.0	0.6639839034205232	332	33	0.09041095890410959
DE_4shot	P1	Phi-3.5-mini	365	0.6191780821917808	0.6091370558375635	0.6593406593406593	0.633245382585752	365	0	0.0
DE_4shot	P1	Qwen2.5-1.5B	365	0.4986301369863014	0.4986301369863014	1.0	0.6654478976234004	365	0	0.0
DE_4shot	P2	Gemma-3-1B	365	0.5835616438356165	0.55859375	0.7857142857142857	0.6529680365296804	365	0	0.0
DE_4shot	P2	Llama-3.2-1B	365	0.49344978165938863	0.4954545454545455	0.956140350877193	0.6526946107784432	229	136	0.3726027397260274
DE_4shot	P2	Phi-3.5-mini	365	0.6493150684931507	0.7014925373134329	0.5164835164835165	0.5949367088607594	365	0	0.0
DE_4shot	P2	Qwen2.5-1.5B	365	0.4986301369863014	0.4986301369863014	1.0	0.6654478976234004	365	0	0.0
DE_4shot	P3	Gemma-3-1B	365	0.4986301369863014	0.4986225895316804	0.9945054945054945	0.6642201834862386	365	0	0.0
DE_4shot	P3	Llama-3.2-1B	365					0	365	1.0
DE_4shot	P3	Phi-3.5-mini	365	0.547945205479452	0.5315985130111525	0.7857142857142857	0.6341463414634146	365	0	0.0
DE_4shot	P3	Qwen2.5-1.5B	365	0.5015873015873016	0.47924528301886793	0.8698630136986302	0.6180048661800487	315	50	0.136986301369863
ES_0shot	P1	Gemma-3-1B	365	0.3561643835616438	0.3561643835616438	1.0	0.5252525252525253	365	0	0.0
ES_0shot	P1	Llama-3.2-1B	365	0.5824175824175825	0.4266666666666667	0.49230769230769234	0.45714285714285713	364	1	0.0027397260273972603
ES_0shot	P1	Phi-3.5-mini	365	0.6602739726027397	0.5277777777777778	0.43846153846153846	0.4789915966386555	365	0	0.0
ES_0shot	P1	Qwen2.5-1.5B	365	0.38082191780821917	0.3651685393258427	1.0	0.5349794238683128	365	0	0.0
ES_0shot	P2	Gemma-3-1B	365	0.3561643835616438	0.3561643835616438	1.0	0.5252525252525253	365	0	0.0
ES_0shot	P2	Llama-3.2-1B	365	0.530791788856305	0.33980582524271846	0.2755905511811024	0.30434782608695654	341	24	0.06575342465753424
ES_0shot	P2	Phi-3.5-mini	365	0.6684931506849315	0.56	0.3230769230769231	0.4097560975609756	365	0	0.0
ES_0shot	P2	Qwen2.5-1.5B	365	0.3780821917808219	0.3641456582633053	1.0	0.5338809034907598	365	0	0.0
ES_0shot	P3	Gemma-3-1B	365	0.3561643835616438	0.3561643835616438	1.0	0.5252525252525253	365	0	0.0
ES_0shot	P3	Llama-3.2-1B	365					0	365	1.0
ES_0shot	P3	Phi-3.5-mini	365	0.7041095890410959	0.6	0.5076923076923077	0.55	365	0	0.0
ES_0shot	P3	Qwen2.5-1.5B	365	0.36164383561643837	0.3581267217630854	1.0	0.5273833671399595	365	0	0.0
ES_2shot_DE_ES	P1	Gemma-3-1B	365	0.5260273972602739	0.41762452107279696	0.8384615384615385	0.5575447570332481	365	0	0.0
ES_2shot_DE_ES	P1	Llama-3.2-1B	365	0.3770491803278688	0.3770491803278688	1.0	0.5476190476190477	305	60	0.1643835616438356
ES_2shot_DE_ES	P1	Phi-3.5-mini	365	0.6356164383561644	0.4819277108433735	0.3076923076923077	0.3755868544600939	365	0	0.0
ES_2shot_DE_ES	P1	Qwen2.5-1.5B	365	0.5506849315068493	0.43359375	0.8538461538461538	0.5751295336787565	365	0	0.0
ES_2shot_DE_ES	P2	Gemma-3-1B	365	0.4438356164383562	0.3862928348909657	0.9538461538461539	0.549889135254989	365	0	0.0
ES_2shot_DE_ES	P2	Llama-3.2-1B	365	0.3545706371191136	0.3545706371191136	1.0	0.523517382413088	361	4	0.010958904109589041
ES_2shot_DE_ES	P2	Phi-3.5-mini	365	0.663013698630137	0.5538461538461539	0.27692307692307694	0.36923076923076925	365	0	0.0
ES_2shot_DE_ES	P2	Qwen2.5-1.5B	365	0.4410958904109589	0.38509316770186336	0.9538461538461539	0.5486725663716814	365	0	0.0
ES_2shot_DE_ES	P3	Gemma-3-1B	365	0.4849315068493151	0.38846153846153847	0.7769230769230769	0.517948717948718	365	0	0.0
ES_2shot_DE_ES	P3	Llama-3.2-1B	365					0	365	1.0
ES_2shot_DE_ES	P3	Phi-3.5-mini	365	0.6438356164383562	0.5	0.6692307692307692	0.5723684210526315	365	0	0.0
ES_2shot_DE_ES	P3	Qwen2.5-1.5B	365	0.5541795665634675	0.4416243654822335	0.71900826446281	0.5471698113207547	323	42	0.11506849315068493
ES_2shot_ES_DE	P1	Gemma-3-1B	365	0.536986301369863	0.4306049822064057	0.9307692307692308	0.5888077858880778	365	0	0.0
ES_2shot_ES_DE	P1	Llama-3.2-1B	365	0.34293948126801155	0.34293948126801155	1.0	0.5107296137339056	347	18	0.049315068493150684
ES_2shot_ES_DE	P1	Phi-3.5-mini	365	0.6493150684931507	0.5147058823529411	0.2692307692307692	0.35353535353535354	365	0	0.0
ES_2shot_ES_DE	P1	Qwen2.5-1.5B	365	0.4136986301369863	0.37349397590361444	0.9538461538461539	0.5367965367965368	365	0	0.0
ES_2shot_ES_DE	P2	Gemma-3-1B	365	0.4904109589041096	0.40789473684210525	0.9538461538461539	0.5714285714285714	365	0	0.0
ES_2shot_ES_DE	P2	Llama-3.2-1B	365	0.3597733711048159	0.3597733711048159	1.0	0.5291666666666667	353	12	0.03287671232876712
ES_2shot_ES_DE	P2	Phi-3.5-mini	365	0.6712328767123288	0.5892857142857143	0.25384615384615383	0.3548387096774194	365	0	0.0
ES_2shot_ES_DE	P2	Qwen2.5-1.5B	365	0.5150684931506849	0.4197952218430034	0.9461538461538461	0.5815602836879432	365	0	0.0
ES_2shot_ES_DE	P3	Gemma-3-1B	365	0.39452054794520547	0.36962750716332377	0.9923076923076923	0.5386221294363257	365	0	0.0
ES_2shot_ES_DE	P3	Llama-3.2-1B	365					0	365	1.0
ES_2shot_ES_DE	P3	Phi-3.5-mini	365	0.6356164383561644	0.4911242603550296	0.6384615384615384	0.5551839464882943	365	0	0.0
ES_2shot_ES_DE	P3	Qwen2.5-1.5B	365	0.6005509641873278	0.45348837209302323	0.6046511627906976	0.5182724252491694	363	2	0.005479452054794521
ES_4shot	P1	Gemma-3-1B	365	0.4876712328767123	0.4065573770491803	0.9538461538461539	0.5701149425287356	365	0	0.0
ES_4shot	P1	Llama-3.2-1B	365	0.3262411347517731	0.3262411347517731	1.0	0.4919786096256685	282	83	0.2273972602739726
ES_4shot	P1	Phi-3.5-mini	365	0.6493150684931507	0.5072463768115942	0.5384615384615384	0.5223880597014925	365	0	0.0
ES_4shot	P1	Qwen2.5-1.5B	365	0.3561643835616438	0.3561643835616438	1.0	0.5252525252525253	365	0	0.0
ES_4shot	P2	Gemma-3-1B	365	0.4246575342465753	0.3816568047337278	0.9923076923076923	0.5512820512820513	365	0	0.0
ES_4shot	P2	Llama-3.2-1B	365	0.36879432624113473	0.36	0.9801980198019802	0.526595744680851	282	83	0.2273972602739726
ES_4shot	P2	Phi-3.5-mini	365	0.6575342465753424	0.5238095238095238	0.4230769230769231	0.46808510638297873	365	0	0.0
ES_4shot	P2	Qwen2.5-1.5B	365	0.3561643835616438	0.3561643835616438	1.0	0.5252525252525253	365	0	0.0
ES_4shot	P3	Gemma-3-1B	365	0.3561643835616438	0.3561643835616438	1.0	0.5252525252525253	365	0	0.0
ES_4shot	P3	Llama-3.2-1B	365					0	365	1.0
ES_4shot	P3	Phi-3.5-mini	365	0.6493150684931507	0.5046296296296297	0.8384615384615385	0.630057803468208	365	0	0.0
ES_4shot	P3	Qwen2.5-1.5B	365	0.4136986301369863	0.37719298245614036	0.9923076923076923	0.5466101694915254	365	0	0.0
