prompt	model	n	accuracy_a	accuracy_b	both_correct	both_wrong	a_only_correct	b_only_correct	discordant_pairs	p_value
P1	Gemma-3-1B	365	0.3561643835616438	0.4876712328767123	124	181	6	54	60	9.722961671898567e-11
P1	Qwen2.5-1.5B	365	0.38082191780821917	0.3561643835616438	130	226	9	0	9	0.00390625
P1	Phi-3.5-mini	365	0.6602739726027397	0.6493150684931507	219	106	22	18	40	0.6358280026288412
P1	Llama-3.2-1B	242	0.5495867768595041	0.3347107438016529	57	85	76	24	100	1.8100026213029253e-07
P3	Gemma-3-1B	365	0.36712328767123287	0.37534246575342467	129	223	5	8	13	0.5810546875
P3	Qwen2.5-1.5B	364	0.4065934065934066	0.37637362637362637	133	212	15	4	19	0.0192108154296875
P3	Phi-3.5-mini	365	0.6958904109589041	0.6493150684931507	198	72	56	39	95	0.10017333048675559
P3	Llama-3.2-1B	3	0.3333333333333333	0.3333333333333333	1	2	0	0	0	1.0
