prompt	model	n	accuracy_a	accuracy_b	both_correct	both_wrong	a_only_correct	b_only_correct	discordant_pairs	p_value
P1	Gemma-3-1B	365	0.4958904109589041	0.6027397260273972	126	90	55	94	149	0.001756558946264753
P1	Qwen2.5-1.5B	365	0.4986301369863014	0.4986301369863014	182	183	0	0	0	1.0
P1	Phi-3.5-mini	365	0.6438356164383562	0.6191780821917808	199	103	36	27	63	0.31350305329645284
P1	Llama-3.2-1B	294	0.5238095238095238	0.4931972789115646	23	18	131	122	253	0.6150831119049541
P3	Gemma-3-1B	365	0.4986301369863014	0.5123287671232877	178	174	4	9	13	0.266845703125
P3	Qwen2.5-1.5B	361	0.5041551246537396	0.5013850415512465	180	178	2	1	3	1.0
P3	Phi-3.5-mini	365	0.6109589041095891	0.5698630136986301	161	95	62	47	109	0.1796710707946719
P3	Llama-3.2-1B	0			0	0	0	0	0	1.0
