experiment	prompt	model	n	accuracy	precision	recall	f1	valid_count	invalid_count	invalid_rate
DE_0shot	P1	Gemma-3-1B	365	0.4958904109589041	0.49725274725274726	0.9945054945054945	0.663003663003663	365	0	0.0
DE_0shot	P1	Llama-3.2-1B	365	0.5068493150684932	0.5192307692307693	0.14835164835164835	0.23076923076923078	365	0	0.0
DE_0shot	P1	Phi-3.5-mini	365	0.6438356164383562	0.6688311688311688	0.5659340659340659	0.6130952380952381	365	0	0.0
DE_0shot	P1	Qwen2.5-1.5B	365	0.4986301369863014	0.4986301369863014	1.0	0.6654478976234004	365	0	0.0
DE_0shot	P2	Gemma-3-1B	365	0.4986301369863014	0.4986301369863014	1.0	0.6654478976234004	365	0	0.0
DE_0shot	P2	Llama-3.2-1B	365	0.5013698630136987	0.5	0.02197802197802198	0.042105263157894736	365	0	0.0
DE_0shot	P2	Phi-3.5-mini	365	0.6821917808219178	0.75	0.5439560439560439	0.6305732484076433	365	0	0.0
DE_0shot	P2	Qwen2.5-1.5B	365	0.4958904109589041	0.49725274725274726	0.9945054945054945	0.663003663003663	365	0	0.0
DE_0shot	P3	Gemma-3-1B	365	0.4986301369863014	0.4986225895316804	0.9945054945054945	0.6642201834862386	365	0	0.0
DE_0shot	P3	Llama-3.2-1B	365					0	365	1.0
DE_0shot	P3	Phi-3.5-mini	365	0.6109589041095891	0.636986301369863	0.510989010989011	0.5670731707317073	365	0	0.0
DE_0shot	P3	Qwen2.5-1.5B	365	0.5041551246537396	0.5027932960893855	0.994475138121547	0.6679035250463822	361	4	0.010958904109589041
DE_2shot_DE_ES	P1	Gemma-3-1B	365	0.5863013698630137	0.6013071895424836	0.5054945054945055	0.5492537313432836	365	0	0.0
DE_2shot_DE_ES	P1	Llama-3.2-1B	365	0.5014164305949008	0.5014164305949008	1.0	0.6679245283018868	353	12	0.03287671232876712
DE_2shot_DE_ES	P1	Phi-3.5-mini	365	0.6301369863013698	0.6358381502890174	0.6043956043956044	0.6197183098591549	365	0	0.0
DE_2shot_DE_ES	P1	Qwen2.5-1.5B	365	0.5232876712328767	0.5118343195266272	0.9505494505494505	0.6653846153846154	365	0	0.0
DE_2shot_DE_ES	P2	Gemma-3-1B	365	0.5178082191780822	0.5142857142857142	0.5934065934065934	0.5510204081632653	365	0	0.0
DE_2shot_DE_ES	P2	Llama-3.2-1B	365	0.49584487534626037	0.49584487534626037	1.0	0.662962962962963	361	4	0.010958904109589041
DE_2shot_DE_ES	P2	Phi-3.5-mini	365	0.6657534246575343	0.7380952380952381	0.510989010989011	0.6038961038961039	365	0	0.0
DE_2shot_DE_ES	P2	Qwen2.5-1.5B	365	0.4986301369863014	0.4986301369863014	1.0	0.6654478976234004	365	0	0.0
DE_2shot_DE_ES	P3	Gemma-3-1B	365	0.5150684931506849	0.5257731958762887	0.2802197802197802	0.3655913978494624	365	0	0.0
DE_2shot_DE_ES	P3	Llama-3.2-1B	365					0	365	1.0
DE_2shot_DE_ES	P3	Phi-3.5-mini	365	0.5643835616438356	0.5447470817120622	0.7692307692307693	0.6378132118451025	365	0	0.0
DE_2shot_DE_ES	P3	Qwen2.5-1.5B	365	0.5068493150684932	0.5028089887640449	0.9835164835164835	0.6654275092936803	365	0	0.0
DE_2shot_ES_DE	P1	Gemma-3-1B	365	0.5452054794520548	0.5869565217391305	0.2967032967032967	0.39416058394160586	365	0	0.0
DE_2shot_ES_DE	P1	Llama-3.2-1B	365	0.4986301369863014	0.4986301369863014	1.0	0.6654478976234004	365	0	0.0
DE_2shot_ES_DE	P1	Phi-3.5-mini	365	0.6273972602739726	0.8026315789473685	0.33516483516483514	0.4728682170542636	365	0	0.0
DE_2shot_ES_DE	P1	Qwen2.5-1.5B	365	0.5013698630136987	0.5	0.9945054945054945	0.6654411764705882	365	0	0.0
DE_2shot_ES_DE	P2	Gemma-3-1B	365	0.5589041095890411	0.5686274509803921	0.47802197802197804	0.5194029850746269	365	0	0.0
